,mileage,s_max,s_min
0,30.37754937,1.000018767,-1
1,31.93384662,1,-1.002416433
2,39.60837955,1,-1
3,35.30496639,1,-1
4,35.67093909,1,-1
5,34.20995263,1,-1
6,38.34804428,1,-1
7,29.68765065,0.895948362,-0.982299223
8,32.38889735,1,-1
9,42.72798094,1.157898221,-1.006060616
10,37.02557072,1,-1
11,38.63513394,1,-1
12,34.36127126,1,-0.99999999
13,37.20491095,1.001677088,-1
14,35.65538874,1,-1
15,32.85250332,1,-1
16,37.47256939,1,-1.007065715
17,26.15464341,1,-1
18,31.67914133,1,-1
19,37.13556938,1.006091376,-1
20,29.97656784,1,-1
21,29.53968421,1,-1
22,31.0452467,1.000184408,-1
23,37.01766356,1.000604884,-1
24,31.25419785,1,-1
25,25.73607796,1,-1
26,40.73119012,1,-1
27,35.38994802,1,-1
28,34.54815039,1,-1
29,26.983492,1,-1.001364964
30,28.66337681,1.00017828,-1.011288083
31,31.9331651,1.00947969,-1
32,41.97450869,1,-1.002843661
33,38.93326647,1,-1
34,40.07698359,1.000169982,-1
35,34.88855391,1,-1
36,31.13694299,1,-1.00047381
37,37.83630866,1,-1
38,35.89676209,1,-1
39,35.33727387,1.002717126,-1
40,33.10349926,1,-1.005948421
41,31.81393776,1,-1
42,36.33828137,1,-1
43,39.28553938,1,-1
44,38.29373087,1,-1
45,36.69679233,1,-1
46,39.11573373,1,-1
47,28.3230931,1,-1
48,40.49032299,1,-1
49,45.06363287,1,-1
50,44.28091618,1,-1
51,41.09977576,1,-1
52,38.5581952,1,-1
53,32.03923653,1,-1
54,23.59227358,1,-1
55,25.79124473,1,-1
56,31.27641641,1,-0.751075682
57,36.56892899,1,-1
58,33.98558039,1.05219432,-1.049085699
59,40.92702432,1.051716756,-1
60,32.58713515,1,-1
61,34.26532982,1,-1.000152656
62,30.99589732,1,-1
63,39.8631166,1,-1
64,38.80360051,1,-1
65,33.9362526,1,-1.005500258
66,29.1618111,1,-1
67,43.56963265,1,-1
68,40.76689219,1,-1
69,33.03396392,1,-1
70,27.84150547,1,-1
71,36.4190968,1,-1
72,36.43928484,1,-1
73,31.81608921,1,-1
74,44.63909334,1,-1
75,38.49974096,1,-1
76,43.61303398,1,-1
77,36.54344141,1,-1
78,43.8206038,1,-1
79,37.65151051,1,-1
80,33.90672527,1,-1
81,30.83930841,1.000899662,-1
82,29.93317662,1,-1.00075291
83,40.05774688,1,-1
84,41.84175595,1.000108079,-1
85,38.24510637,1,-1
86,40.81105205,1,-1
87,48.37742278,1,-1
88,38.17939028,1,-1
89,26.98951484,1,-1
90,35.28601718,1,-1
91,38.64571284,1.000332369,-1
92,37.23580532,1,-1.016040293
93,40.28045714,1,-1
94,38.40779069,1,-1
95,33.89353215,1,-1
96,44.98612274,1,-1
97,39.05816413,1,-1
98,42.77219666,1,-1
99,38.01252678,1,-1
100,40.48781855,1.0009578,-1
101,40.11707313,1,-1
102,33.26681921,1,-1.003033724
103,25.42282728,1,-1
104,29.94507271,1,-1.002351421
105,27.38876336,1.00836978,-1
106,30.04002761,1.004814527,-1
107,29.67469034,1,-1
108,36.72469362,1,-1
109,34.52701107,1,-1
110,36.98260665,1,-1
111,31.23717981,1,-1
112,32.51562145,1,-1.00117894
113,33.87174607,1.000558588,-1
114,30.23392858,1.00016429,-1
115,41.12309524,1,-1
116,41.79897011,1,-1
117,29.33607922,1,-0.999999946
118,29.54990276,1,-1
119,32.04938879,1,-1
120,39.76891088,1,-1
121,36.24471487,1,-1
122,35.93006112,1,-1
123,38.24319461,1,-1
124,36.49467925,1,-1
125,32.10087692,1.000163214,-1
126,42.32191773,1,-1.013615586
127,40.960351,1.000160653,-1
128,40.5719516,1.000711114,-1
129,28.60117031,1,-1
130,32.2094088,1,-1.000547276
131,31.60400055,1.000159062,-1.000088719
132,38.31194523,1,-1.001057127
133,34.31854431,1,-1
134,30.64242803,1,-1
135,34.67518077,1,-1.023250858
136,33.7399048,1,-1
137,34.60788395,1,-1.000866864
138,32.44966592,1.009454785,-1
139,38.86957035,1.002464144,-1
140,38.25453779,1,-1.017909294
141,42.94525715,1,-1
142,40.71460132,1,-1
143,40.48386248,1,-1
144,41.99623029,1,-1
145,41.83477697,1,-1
146,39.49503611,1,-1
147,47.45262739,1,-1
148,38.18470768,1,-1
149,37.25101932,1.008946657,-1
150,41.30052773,1,-1.017473896
151,42.14505275,1,-1.012948701
152,42.38900389,1,-1
153,32.53494548,1,-1
154,28.95244834,1,-1
155,28.56843579,1,-1.059324241
156,33.34647365,1,-1
157,24.68417459,1.000357361,-1.003365939
158,25.42582722,1.000119469,-1.004013696
159,26.85630463,1,-1
160,33.75168063,1,-1.013046336
161,30.01748105,1,-1.005925247
162,34.52311464,1,-1
163,34.30672204,1,-1.002539807
164,31.32835897,1,-1
165,26.40145988,1,-1
166,34.49878344,1,-1
167,38.8488502,1,-1
168,36.22874876,1,-1
169,34.82257728,1,-1
170,33.75690019,1,-1
171,39.9579275,1,-1
172,33.29447784,1,-1
173,40.74323168,1,-1
174,31.72127042,1,-1.010379235
175,34.18324424,1,-1
176,28.77127234,1,-1
177,30.01478288,1,-1
178,29.86739756,1.004760989,-1
179,28.34759374,1.043695264,-1.000316065
180,28.42087489,1,-1
181,32.99852704,1.000295817,-1
182,39.13375821,1,-1
183,32.16824352,1,-1
184,39.9426457,1,-1
185,29.67867968,1,-1.001339401
186,35.70992515,1,-1
187,33.74530249,1,-1
188,33.26231633,1,-1
189,27.11090825,1,-1
190,31.40670782,1,-1.010912887
191,31.98180859,1,-1
192,32.22847289,1.000503912,-1
193,38.37969764,1,-0.999298993
194,28.09319133,1,-1
195,33.2205193,1,-1
196,41.89373643,1,-1
197,35.1738969,1,-1
198,35.02241417,1,-1.009418708
199,31.16827738,1,-1
200,23.61799184,1,-1
201,18.38188296,1,-1.001029598
202,33.64252457,1,-1
203,23.34007046,1,-1
204,32.81739335,1,-1
205,27.50774365,1,-1
206,31.74408134,1.000155144,-1
207,30.25426756,1,-1
208,38.1558987,1,-1
209,30.00764172,1,-1.004454786
210,31.4169055,1,-1
211,32.55365519,1,-1
212,31.85991442,1,-1
